Time Period,Date,Document ID,Sentence ID,Headline,Chunk Text,Motivation,Label,Entity,Country Code,Entity Type,Theme Matching Label,Theme Matching Motivation,motivation,label
Sep 2025,2025-09-19,ECF7D22996018A3AAABF9A268A528401,ECF7D22996018A3AAABF9A268A528401-5,"Trump Plans to Impose $100,000 Fee per Year for H-1B Visas, in Likely Blow to Tech","Critics of the program, including many U.S. technology workers, argue that it allows firms to suppress wages and sideline Americans who could do the jobs. Supporters, including Tesla CEO and former Trump ally Elon Musk, say it brings in highly skilled workers essential to filling talent gaps and keeping firms competitive. Musk, himself a naturalized U.S. citizen born in South Africa, has held an H-1B visa.
Move Could Deter Global Talent  
Adding new fees ""creates disincentive to attract the world's smartest talent to the U.S.,"" said Deedy Das, partner at venture capital firm Menlo Ventures, on X. ""If the U.S. ceases to attract the best talent, it drastically reduces its ability to innovate and grow the economy.""","The sentence discusses how adding new fees may deter global talent from coming to the U.S., which aligns with the theme of the tax hindering recruitment of skilled H-1B visa workers and impacting innovation driven by H-1B visa talent.",New tax may hinder recruitment of skilled H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence discusses the implications of adding new fees to H-1B visas, specifically mentioning that it could deter global talent from coming to the U.S. This directly relates to the theme of introducing a high fee on H-1B visas as outlined in the title.","Donald Trump is mentioned in the title regarding the imposition of a fee on H-1B visas, but the sentence does not quote anything that he has explicitly said. Instead, it discusses opinions from critics and supporters of the program without including a direct quote from Trump himself.",narrative
Sep 2025,2025-09-19,F1CDF731A5A53FCEA119EEB1E5104174,F1CDF731A5A53FCEA119EEB1E5104174-4,"President Trump announces plan to raise fee for H-1B visa applications to $100,000","Hiking up the fee opens a new front in the Trump administration's crackdown on immigration, legal or otherwise.
Trump administration cracks down on H-1Bs
Commerce Secretary Howard Lutnick said the new fee will prevent companies from training workers and encourage them to hire Americans.","The sentence discusses the implications of a new fee related to H-1B visas, indicating that it may prevent companies from training workers and encourage hiring Americans instead. This aligns with the theme of companies prioritizing domestic candidates over H-1B visa applicants.",Companies may prioritize domestic candidates over H-1B visa applicants.,Donald Trump,,PEOP,related,"The sentence discusses the increase in fees related to H-1B visas and its implications, which directly connects to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to the actions of his administration, but the sentence does not quote anything he has explicitly said.",narrative
Sep 2025,2025-09-19,057BF86B8A24826C59BFF432EF82A275,057BF86B8A24826C59BFF432EF82A275-1,Hiring H-1B visa workers may cost $100K more with Trump's latest executive order,"President Donald Trump signed an executive order on Friday that would change the H1-B visa program.
The order raises the H1-B visa application fee to $100,000.
Tech companies use the H1-B visa program to hire skilled foreign workers.","The sentence discusses an executive order that raises the H1-B visa application fee, which directly relates to the proposed tax impacting companies employing H-1B visa holders. This change in fee structure can be seen as a financial burden on companies that rely on H-1B visa workers.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly states that President Trump signed an executive order that raises the H1-B visa application fee to $100,000, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in the context of signing an executive order, but the sentence does not quote anything he has explicitly said. It describes an action he has taken rather than a statement he has made.",narrative
Sep 2025,2025-09-19,06113077F9A670F0C1F96545870AD5BC,06113077F9A670F0C1F96545870AD5BC-1,"Big change for H-1Bs: Donald Trump signs order to increase visa application fee to $100,000; aim to protect US tech jobs","President Trump has introduced a $100,000 fee for H-1B visa applications, aiming to reform the skilled worker program. This move seeks to discourage mass applications and address concerns about lower wages for foreign workers in entry-level positions. The changes could significantly impact startups and small businesses, potentially shifting focus back to American tech workers and protecting domestic employment. US President Donald Trump has signed a new proclamation introducing a $100,000 annual fee for H-1B visa applications, along with other changes to the skilled foreign worker programme, which has been under scrutiny for years.","The sentence discusses a new fee introduced for H-1B visa applications, which directly relates to the proposed tax impacting companies employing H-1B visa holders. It highlights the intention behind the fee to discourage mass applications and protect domestic employment, indicating a significant change in the landscape for companies that rely on H-1B visa workers.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly states that President Trump has introduced a $100,000 fee for H-1B visa applications, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It discusses the implications of this fee and its intended purpose, making the connection clear.","Donald Trump has done something by introducing a fee for H-1B visa applications, but the sentence does not quote him directly stating anything. Therefore, it does not meet the criteria for a quote.",narrative
Sep 2025,2025-09-19,1A09980C5974778B02B3D2796FBDE239,1A09980C5974778B02B3D2796FBDE239-1,"Trump's $100,000 H-1B Visa Fee Shocks Tech Sector","U.S. President Donald Trump plans to introduce a $100,000 application fee for H-1B visas, potentially impacting the tech sector's reliance on skilled workers from India and China. Critics say the fee could elevate costs and stifle innovation, while supporters argue it ensures employers hire top talent.","The sentence discusses a proposed application fee for H-1B visas, which directly relates to the theme of a proposed tax impacting companies employing H-1B visa holders. It highlights the potential financial implications for the tech sector and the broader impact on hiring skilled workers, aligning with the narrative of how such a tax could affect recruitment and operational costs.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence directly discusses the introduction of a $100,000 application fee for H-1B visas, which is the main focus of the article. It highlights the potential impact on the tech sector and includes perspectives from both critics and supporters regarding the fee.","Donald Trump is mentioned as planning to introduce a high fee for H-1B visas, but this is describing an action he intends to take rather than something he has explicitly said. Therefore, it does not qualify as a direct quote.",narrative
Sep 2025,2025-09-19,1A09980C5974778B02B3D2796FBDE239,1A09980C5974778B02B3D2796FBDE239-3,"Trump's $100,000 H-1B Visa Fee Shocks Tech Sector","Debate over the H-1B program has long simmered between Trump's conservative supporters, who argue it can depress wages, and industry leaders who emphasize its role in securing top-tier talent. The proposed fee hikes may not deter major corporations like Amazon or Microsoft, yet they could impose significant burdens on smaller startups.","The sentence discusses the debate surrounding the H-1B program and mentions proposed fee hikes that could impact smaller startups, indicating a potential financial burden related to hiring H-1B visa workers. This aligns with the theme of 'Tax increases operational costs for companies employing H-1B visa workers.'",Tax increases operational costs for companies employing H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence discusses the debate surrounding the H-1B program and mentions proposed fee hikes, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'. It highlights the potential impact of these fees on both major corporations and smaller startups, indicating a clear connection to the topic.","Donald Trump is mentioned in the context of his supporters' views on the H-1B program, but there is no direct quote from him in the sentence. Therefore, it does not strictly quote something that Donald Trump has said.",narrative
Sep 2025,2025-09-19,27D9E84555C16D4558312C6B35FB20E7,27D9E84555C16D4558312C6B35FB20E7-5,Big change for H-1Bs: Donald Trump signs proclamation imposing $100k annual fee on visa application; aim to protect US tech jobs,"This has led to outsourcing of basic technical operations to consultancies such as Wipro, Infosys, HCL Technologies, Tata, IBM, and Cognizant, which employ foreign workers-mostly from India-contracted to American firms seeking cost savings. While critics welcome these changes, they are calling for further reforms. The AFL-CIO said the measures are ""some steps in the right direction"" but advocated for visas to be allocated based on highest wage offers rather than random selection-a proposal previously floated during Trump's first term. The increased fees could affect hiring foreign workers as it'll cost more for companies. Currently, companies pay $215 to register for the lottery and $780 for a Form I-129, the employer-sponsored petition for a non-immigrant worker.","The sentence discusses the outsourcing of technical operations to consultancies that employ foreign workers, indicating a shift in hiring practices that may be influenced by cost considerations. The mention of increased fees affecting hiring foreign workers directly relates to the theme of higher costs deterring companies from hiring H-1B visa candidates.",Higher costs may deter companies from hiring H-1B visa candidates.,Donald Trump,,PEOP,related,"The sentence discusses the implications of increased fees on hiring foreign workers, specifically mentioning the costs associated with H-1B visa applications. This directly relates to the theme of 'Introduction of a high fee on H-1B visas' as it highlights how the new fees could impact companies looking to hire foreign workers.","Donald Trump is mentioned in relation to a proposal that was previously floated during his first term, but the sentence does not quote anything he explicitly said. Therefore, it does not meet the criteria for a direct quote.",narrative
Sep 2025,2025-09-19,271CB574F00879FBC29153A6AD32C8BC,271CB574F00879FBC29153A6AD32C8BC-3,Hiring H-1B visa workers may cost $100K more with Trump's latest executive order,"The order includes imposing an H1-B application fee of $100,000. The executive order said the fee would need to be paid in order for applications to be considered.
Commerce Secretary Howard Lutnick, who spoke alongside Trump in the Oval Office, said it would be a yearly fee for companies that hire H1-B workers. Officials said the fee would help ensure the visa is used to bring in workers who are actually very highly skilled and not to replace American workers.","The sentence discusses the imposition of a significant fee for H-1B applications, which directly relates to the proposed tax impacting companies employing H-1B visa holders. This fee is a financial burden that companies must consider when hiring H-1B workers, aligning with the theme of a proposed tax affecting these companies.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence explicitly discusses the introduction of a high application fee of $100,000 for H-1B visas as part of an executive order, directly relating to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in the context of an executive order, but the sentence does not quote anything he explicitly said. It describes actions and statements made by others regarding the order.",narrative
Sep 2025,2025-09-20,A30C8CA57CC33873AEF6A2799EDD16CD,A30C8CA57CC33873AEF6A2799EDD16CD-1,Startup leaders warn new $100K H-1B visa fee will hurt U.S. entrepreneurship and innovation,"Longtime entrepreneurs and venture capitalists are sounding the alarm over President Trump's new H-1B fee that would impact tech companies and the workers they hire from abroad.
Trump announced an executive order Friday outlining the $100,000 fee for H-1B work visas, which allow companies to hire highly skilled foreign workers in ""specialty occupations"" such as software engineering, data science, and other STEM fields.","The sentence discusses President Trump's new H-1B fee and its potential impact on tech companies and the foreign workers they hire, which directly relates to the proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence directly discusses President Trump's announcement of a new $100,000 fee for H-1B work visas, which is clearly related to the theme of 'Introduction of a high fee on H-1B visas'. It highlights the impact of this fee on tech companies and foreign workers, aligning perfectly with the theme.","Donald Trump announced an executive order regarding the new H-1B fee, but the sentence does not quote him directly. It describes an action he took rather than something he explicitly said.",narrative
Sep 2025,2025-09-20,9C092C763326830DB8307D20AE129D46,9C092C763326830DB8307D20AE129D46-4,US tech firms urge H-1B visa workers to return before Sunday deadline,"There was no official statement yet from either Microsoft or JPMorgan.
President Trump expects the revised fee-based visa programme to generate over $100 billion for the US Treasury, designated for national debt reduction and tax cuts. Critics, however, argued that the new fee hinders talent mobility and stifles innovation.","The sentence discusses the critics' perspective on the new fee-based visa program, indicating that it hinders talent mobility and stifles innovation. This aligns with the theme 'Tax may impact innovation driven by H-1B visa talent.'",Tax may impact innovation driven by H-1B visa talent.,Donald Trump,,PEOP,related,The sentence discusses the revised fee-based visa program and mentions a new fee that critics argue hinders talent mobility. This directly relates to the theme of 'Introduction of a high fee on H-1B visas' as it highlights the implications of such a fee on the visa program.,"Donald Trump is mentioned in relation to his expectations about the revised fee-based visa programme, which indicates something he has said regarding its potential financial impact. However, the sentence does not provide a direct quote from him.",narrative
Sep 2025,2025-09-20,A30C8CA57CC33873AEF6A2799EDD16CD,A30C8CA57CC33873AEF6A2799EDD16CD-2,Startup leaders warn new $100K H-1B visa fee will hurt U.S. entrepreneurship and innovation,"By imposing the new fee, the Trump administration says it aims to curb abuse of the H-1B program while reserving visas for only the ""best of the best.""
Currently, companies pay several thousand dollars in government fees and legal costs per H-1B application. Adding a $100,000 surcharge per worker would be unprecedented.","The sentence discusses the imposition of a new fee on H-1B visa applications, which aligns with the theme of a proposed tax impacting companies employing H-1B visa holders. The mention of a surcharge indicates a direct financial impact on companies that hire H-1B workers.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses the introduction of a new fee on H-1B visas, specifically mentioning a $100,000 surcharge, which directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to the actions of the Trump administration, but the sentence does not quote something that Donald Trump has explicitly said. Instead, it describes the administration's stance and intentions regarding the H-1B program.",narrative
Sep 2025,2025-09-20,A23F8E8B692EB93A35BB2B559E62094D,A23F8E8B692EB93A35BB2B559E62094D-2,'Reckless' H1-B fee will have negative impact on IT industry: US lawmakers,"Trump's $100,000 H-1B visa fee is a reckless attempt to cut America off from high-skilled workers who have long strengthened our workforce, fuelled innovation, and helped build industries that employ millions of Americans, Congressman Raja Krishnamoorthi said.","The sentence discusses a proposed fee for H-1B visas and its negative implications on the recruitment of high-skilled workers, which aligns with the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses a specific high fee on H-1B visas proposed by Trump and its implications on the workforce and innovation, directly relating to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to a fee he has implemented, but the sentence does not quote something he has explicitly said. Instead, it describes an action attributed to him.",narrative
Sep 2025,2025-09-20,9920D406093B70DCA8E30429572EEAA4,9920D406093B70DCA8E30429572EEAA4-2,US H-1B Visa Fee Increase: What Passports Holders and Employers Need to Know,"The H-1B visa program has long been a key pathway for foreign workers, especially in the tech sector, to contribute their expertise to US companies. The new fee, aimed at mitigating what Trump refers to as ""abuse"" of the program, has caused significant reactions among employers, skilled workers, and immigration attorneys.
The New $100,000 Fee: What Does It Mean for Skilled Workers?
The $100,000 fee applies only to new H-1B applicants, and companies sponsoring foreign workers will need to pay this fee for each individual hired under the program. The change is part of Trump's ongoing effort to restrict immigration and prioritize US-born workers for high-skilled positions.","The sentence discusses a new fee for H-1B visa applicants and its implications for companies hiring foreign workers, which aligns with the theme of a proposed tax impacting companies employing H-1B visa holders.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses the introduction of a new fee for H-1B visa applicants, specifically mentioning a $100,000 fee that companies must pay for each new applicant. This directly relates to the theme of 'Introduction of a high fee on H-1B visas' as it outlines the financial implications of the new fee structure and its context within immigration policy changes.","Donald Trump is referenced in relation to his characterization of the H-1B visa program as being subject to ""abuse,"" but the sentence does not provide a direct quote of something he has explicitly said. Instead, it describes his perspective and actions regarding the program.",narrative
Sep 2025,2025-09-20,9B48C57BBFC3397571AE6AC07507D1CA,9B48C57BBFC3397571AE6AC07507D1CA-2,"New H-1B visa rules to choke US innovation, turbocharge India's growth: Amitabh Kant","In a major setback for Indian tech professionals working in the United States and top tech companies, Trump has signed a proclamation to significantly curtail the H-1B visa programme.
""Donald Trump's $100,000 H-1B fee will choke US innovation, and turbocharge India's. By slamming the door on global talent, America pushes the next wave of labs, patents, innovation and startups to Bangalore and Hyderabad, Pune and Gurgaon,"" Kant posted on X social media platform.","The sentence discusses the impact of a proclamation signed by Trump that significantly curtails the H-1B visa program, which directly relates to the proposed tax impacting companies employing H-1B visa holders. It highlights how this action could hinder the recruitment of skilled H-1B visa workers and affect innovation in the U.S. by pushing talent to India.",A proposed tax impacting companies employing H-1B visa holders.,Donald Trump,,PEOP,related,"The sentence discusses a proclamation signed by Trump that significantly curtails the H-1B visa program and mentions a specific high fee of $100,000 for H-1B visas. This directly relates to the theme of 'Introduction of a high fee on H-1B visas' as it highlights the financial implications of the new rules on the visa program.","Donald Trump is mentioned in the context of having signed a proclamation regarding the H-1B visa programme, but the sentence does not contain a direct quote from him. Instead, it includes a statement made by Amitabh Kant about Trump's fee, which is not a direct quote from Trump himself.",narrative
Sep 2025,2025-09-20,9920D406093B70DCA8E30429572EEAA4,9920D406093B70DCA8E30429572EEAA4-13,US H-1B Visa Fee Increase: What Passports Holders and Employers Need to Know,"For travelers and future applicants, it's important to stay informed about how these changes may impact their ability to work, live, and travel in the US, as the landscape for foreign professionals continues to evolve.
Key Points:   Trump's Executive Order imposes a $100,000 annual fee for H-1B visa applicants, which applies to new requests. Large tech companies may absorb the fee, but small businesses may struggle with the added cost. The US tech sector could be negatively impacted as foreign talent may look for opportunities in Canada , Australia , and other countries with more favorable visa policies. The new $100,000 fee could lead to fewer skilled workers coming to the US, particularly affecting startups and small companies .","The sentence discusses the implications of a new $100,000 fee for H-1B visa applicants, highlighting how it may deter skilled workers from coming to the US, particularly affecting small businesses and startups. This aligns with the theme of 'New tax may hinder recruitment of skilled H-1B visa workers.'",New tax may hinder recruitment of skilled H-1B visa workers.,Donald Trump,,PEOP,related,"The sentence explicitly discusses the introduction of a $100,000 annual fee for H-1B visa applicants, detailing its implications for various stakeholders, including large tech companies and small businesses. This directly relates to the theme of 'Introduction of a high fee on H-1B visas'.","Donald Trump is mentioned in relation to an Executive Order that imposes a fee, but the sentence does not quote something he has explicitly said. It describes an action taken rather than a statement made by him.",narrative
