Date,Highlight,Companies
2025-09-23,IBM is now identified as one of the major tech firms that will feel the impact of the new high fee on H-1B visas.,"IBM Corp. Pty. Ltd., Metaview, Dewang"
2025-09-24,"IBM acknowledges that the H-1B visa fee increase could slow U.S. economic growth due to the technology sector's heavy dependence on foreign talent, especially from India.","IBM Corp. Pty. Ltd., Metaview, Dewang"
2025-09-19,Wipro Ltd.: The introduction of increased fees for H-1B visas could affect Wipro's ability to hire foreign workers due to higher costs.,"Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-19,"Infosys Ltd.: The introduction of high fees on H-1B visas could significantly affect Infosys's ability to hire foreign workers, as it will increase operational costs.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-20,"Wipro Ltd.: The new $100,000 fee on H-1B visas will limit Wipro's ability to send junior and mid-level engineers to the US, making H-1B hiring financially viable only for high-value roles.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-20,"Tata Consultancy Services Ltd.: The introduction of a $100,000 fee for H-1B visa sponsorship is expected to significantly impact TCS's hiring strategies.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-21,"Tata Consultancy Services Ltd.: TCS has advised its employees on H-1B visas to stay in the U.S. or return quickly before the new regulations take effect, indicating urgency in response to the fee increase.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-21,"Infosys Ltd.: Infosys has begun to reduce its dependence on H-1B visas by shifting more work to India and hiring locally in the U.S., indicating a strategic response to the new fee structure.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-22,"Tata Consultancy Services Ltd.: TCS is expected to explore alternative solutions such as remote work and contract renegotiations to mitigate the financial burden of the new $100,000 annual fee on H-1B visas.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-22,"Infosys Ltd.: Analysts estimate that the new visa fee could cut operating profits for Infosys by 7-15%, prompting a reevaluation of pricing and hiring strategies.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-23,Infosys Ltd.: Infosys is projected to face an increase in annual immigration costs between $150-550 million due to the new H-1B visa fee.,"Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-23,Wipro Ltd.: Wipro is expected to face a 1-3% reduction in net profit due to the new high fee on H-1B visas.,"Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-24,"Tata Consultancy Services Ltd.: The new H-1B visa fee could equate to the cost of a year's salary for each new recruit, significantly increasing operational costs for TCS.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-24,"Wipro Ltd.: Citi Research warns that the new fee regime will make each fresh recruit on an H-1B visa as costly as a year's salary, significantly increasing the cost of doing business for IT services companies.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-25,"Wipro Ltd.: Wipro's number of Indian employees on H-1B visas has halved from 34,507 in 2017 to 17,997 by 2025, indicating a strategic shift towards offshore delivery and local hiring.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-25,"Infosys Ltd.: Despite a decrease in reliance on H-1B visas, the critical nature of these visas for Infosys's operations is underscored by the fact that 96 percent of its revenue comes from international markets, with 53 percent from the U.S.","Tata Consultancy Services Ltd., Infosys Ltd., Wipro Ltd."
2025-09-19,"Amazon, along with other big tech companies, heavily depends on H-1B visas and will face increased operational costs due to the proposed high fee.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-19,"The fee will apply to both new H-1B visa applications and renewals, affecting the hiring strategy of Alphabet Inc.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-20,"Microsoft has warned employees on H-1B and H-4 visas to remain in or return to the U.S. amid confusion over the new $100,000 visa fee.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-20,"Amazon has warned employees on H-1B and H-4 visas to remain in or return to the U.S. amid confusion over the new $100,000 fee.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-21,"Alphabet Inc. is concerned about the financial implications of the proposed $100,000 annual fee on H-1B visas, which could lead to hundreds of millions of dollars in additional costs.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-21,"A Microsoft executive indicated that the company may shift more workers to Canada due to friendlier immigration laws, suggesting potential job and tax revenue losses for the U.S.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-22,"The introduction of the high fee is expected to pressure hiring practices, potentially leading to a shift towards offshore capability centers instead of hiring in the U.S.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-22,"Analysts predict that the new $100,000 fee could lead to a more selective hiring process, limiting access to skilled foreign workers and potentially stifling innovation within the tech sector.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-23,"The new $100,000 fee is expected to be manageable for large companies like Google but crippling for startups that rely on foreign specialists.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-23,"The $100,000 one-time fee for H-1B visa applications is expected to create substantial new costs for Microsoft and other major tech employers.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-24,"The introduction of a $100,000 fee on H-1B visas will double hiring costs for Microsoft and prompt a reassessment of its human resources strategies.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-24,"The introduction of a $100,000 fee for new H-1B visa applications is expected to double hiring costs for Amazon, prompting a reassessment of its human resources strategies.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-25,"The introduction of the $100,000 fee on H-1B visas is expected to significantly challenge smaller and mid-sized businesses, potentially affecting their competitiveness and sustainability in the market.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
2025-09-25,"The introduction of the high fee could lead to a loss of talent to countries like the UK, China, and the UAE, which are lowering barriers for skilled workers.","Amazon.com Inc., Alphabet Inc., Microsoft Corp."
