RP_COMPANY_ID,COMPANY_NAME,VALUATION_VALUE
6ABCB8,Monolithic Power Systems Inc.,78037553.9095238
800F03,NetEase Inc.,76599355.7620585
D6C356,Datadog Inc.,74698417.6707619
6E1E61,O'Reilly Automotive Inc.,74417037.4750476
8BBCDA,Rocket Lab Corp.,74290276.107619
092C47,Lumentum Holdings Inc.,72816243.1428571
8C6C1B,Ross Stores Inc.,71800784.1656429
D9B1C9,American Electric Power Co. Inc.,69915165.7612571
BFAEB4,Cintas Corp.,68659619.1911833
ADF092,Warner Bros Discovery Inc.,67798945.7410952
589803,Regeneron Pharmaceuticals Inc.,66689405.3439143
CF4517,DoorDash Inc.,64747318.9585714
BB036E,Robinhood Markets Inc.,63707322.3078571
ACF77B,Paccar Inc.,59099815.66875
E15736,Diamondback Energy Inc.,56245178.3877857
09E31A,Airbnb Inc.,55964242.3808
B4E00D,Flex Ltd.,52538349.9830238
C72B8F,Strategy Inc.,52279497.2815762
CDFCC9,Microchip Technology Inc.,51291261.1456
92D3A0,Fastenal Co.,51041089.4166667
25102A,Nasdaq Inc.,50956841.9108572
DB06B0,Electronic Arts Inc.,50521408.1904
SY36OD,Astera Labs Inc.,50222526.42
64E346,Autodesk Inc.,50001473.8095238
972356,eBay Inc.,49880862.8571429
1151F4,Xcel Energy Inc.,49497141.948881
DI7L1U,CoreWeave Inc.,48403096.8717476
B45FD2,Nebius Group N.V.,47876036.5327619
790C34,ON Semiconductor Corp.,46206507.0034286
B303A6,Exelon Corp.,46088216.2757143
119CB6,Old Dominion Freight Line Inc.,44913622.0089143
B7EB38,IDEXX Laboratories Inc.,43498675.8642686
A01664,Take-Two Interactive Software Inc.,42078342.4573619
D69946,Coinbase Global Inc.,41252030.5877333
14C7B2,Keurig Dr. Pepper Inc.,40258304.7605714
2C7505,Alnylam Pharmaceuticals Inc.,39383601.4760143
03CF95,PayPal Holdings Inc.,38867247.2090952
3188EC,JD.com Inc.,38314004.414275
DF532D,Interactive Brokers Group Inc.,37910296.4671619
8VCHP2,Credo Technology Group Holding Ltd.,37864235.016419
20BEEA,Steel Dynamics Inc.,35794367.3962762
6F6559,Paychex Inc.,34333566.7219286
D2AC74,Axon Enterprise Inc.,34084773.0699714
17BF10,Trip.com Group Ltd.,33470041.2049366
6E705B,United Airlines Holdings Inc.,33173962.9892714
5E6959,Roper Technologies Inc.,32972200.4180571
61BCA7,Arch Capital Group Ltd.,32391743.44
DEAFC5,BeOne Medicines Ltd.,32367809.9547817
4BAF2E,Revolution Medicines Inc.,32174754.7154571
8B4A45,Copart Inc.,30174399.7944
12F98C,Casey's General Stores Inc.,30076220.2412524
D82E83,AST SpaceMobile Inc.,29728962.579581
CBDB4D,Natera Inc.,29469019.5558
5F1B7B,M/ACom Technology Solutions Holdings Inc.,28684488.4307143
CEDFD5,Biogen Inc.,28664731.0954667
LJPA1L,GE HealthCare,28648867.6892667
061366,First Solar Inc.,28521754.6909333
934CC3,NetApp Inc.,28237300.4523429
C356AC,The Kraft Heinz Co.,27789545.04
362955,Zoom Communications Inc.,27149995.1817
A5B913,VeriSign Inc.,27048796.6666667
3A0C6D,MongoDB Inc.,26832039.5901619
4B7006,Workday Inc.,26690157.4445905
B840EF,DexCom Inc.,26635894.4447619
K8XQN6,FTAI Aviation Ltd.,25583997.3218667
7F9E16,Sterling Infrastructure Inc.,25539188.0639714
39692D,Expedia Group Inc.,25382547.0068143
51E682,Cincinnati Financial Corp.,25332936.9192714
72DF04,J.B. Hunt Transport Services Inc.,25006486.3779048
D44D33,Zscaler Inc.,24851954.9831476
07EC43,Cognizant Technology Solutions Corp.,24539895.1521333
2DBF98,Willis Towers Watson PLC,23990640.1792976
594402,United Therapeutics Corp.,23892374.9569429
58A62D,Royalty Pharma PLC,23871787.8653333
0BF198,Insmed Inc.,23167741.5102857
7C1C76,BioNTech SE,23001388.9209905
30A565,Super Micro Computer Inc.,22955569.8387143
E6D89E,Illumina Inc.,22919104.1190476
009397,LPL Financial Holdings Inc.,22839373.4247467
66CB62,Expand Energy Corp.,22762966.833
2E0496,Verisk Analytics Inc.,22557343.8879238
2F94A5,T. Rowe Price Group Inc.,22209447.312
59B229,Principal Financial Group Inc.,22198873.279
1E169E,SBA Communications Corp.,21716049.8016
41B0E2,F5 Inc.,21694839.3162938
CF7292,Ulta Beauty Inc.,21471588.134935
1BDB2A,MKS Inc.,21418758.2449429
E7A2A5,Woodward Inc.,21194617.4168167
08B4B5,Roivant Sciences Ltd.,21165089.4407619
270305,First Citizens Bancshares Inc.,20914643.9332486
6A091A,Entegris Inc.,20836147.6190476
C659EB,C.H. Robinson Worldwide Inc.,20645855.8661333
9652E4,EchoStar Corp.,20305935.3228143
B803B1,Liberty Media Corp.,20129117.3706857
4B65EE,Affirm Holdings Inc.,19870132.6926667
6CC55E,Incyte Corp.,19498357.3025714
96A2D3,SiTime Corp.,19418298.58164
143C52,Dollar Tree Inc.,19197129.5038048
8EA478,Moderna Inc.,19185559.9166667
508CFD,Viatris Inc.,19071489.746
263216,Royal Gold Inc.,19047015.1646667
8303CD,Lattice Semiconductor Corp.,18989615.6051905
F93C8A,Alliant Energy Corp.,18669494.3418667
605F40,TTM Technologies Inc.,18297589.3334476
5C8D61,Amkor Technology Inc.,17471470.9191429
D88EF3,Charter Communications Inc.,17465912.2763143
6474BA,East West Bancorp Inc.,16773691.6017714
0BF528,Okta Inc.,16669536.1506571
47B609,Talen Energy Corp.,16583812.4059124
4AC574,The Carlyle Group Inc.,16531225.7403667
9F47E2,Roku Inc.,16515211.5412571
D437C3,PTC Inc.,16478138.5055357
37E17C,Plains All American Pipeline L.P.,16199679.7669524
E0207A,SS&C Technologies Holdings Inc.,16153771.8794286
FC1F9D,Tractor Supply Co.,16103101.6342857
2E4F55,Nova Ltd.,16090765.23444
367E1C,Neurocrine Biosciences Inc.,15905426.7648857
D56D6D,Nordson Corp.,15792515.9523333
7F3669,Rambus Inc.,15526718.1029619
27DC40,Guardant Health Inc.,15366437.6022857
89F693,Gen Digital Inc.,15011306.8793143
87B81A,CDW Corp.,14839354.0721905
48F795,Applied Optoelectronics Inc.,14800473.2397571
RDU3ZQ,Atlassian Corp.,14723484.9672024
0B920C,Li Auto Inc.,14722510.0664125
AEA57C,Jazz Pharmaceuticals PLC,14687406.9787333
A6BE37,Ascendis Pharma A/S,14519725.77276
EB61C4,Lincoln Electric Holdings Inc.,14332986.2926
B5DE80,Regency Centers Corp.,14191396.2481619
5568KV,Grab Holdings Ltd.,14042640.5228571
55EDAF,Millicom International Cellular S.A.,14018141.2461
589846,Semtech Corp.,13995656.3075333
C9C62A,IES Holdings Inc.,13678573.8436757
97693A,Lululemon Athletica Inc.,13606718.4354929
ED0402,CoStar Group Inc.,13543991.8384286
949BA4,Ares Capital Corp.,13493357.9900952
531EF1,Check Point Software Technologies Ltd.,13472436.3256533
6D4636,Sanmina Corp.,13426003.1634171
5ABEC0,APA Corp.,13408134.6008571
6F0A63,Gaming and Leisure Properties Inc.,13354853.3572667
TGONAJ,Solstice Advanced Materials Inc.,13350675.8196
6D9ECA,BridgeBio Pharma Inc.,13141356.5314286
55CD6F,Lamar Advertising Co.,13100660.6292229
59872F,Nutanix Inc.,13053201.9339048
7BFF81,Fox Corp.,13053004.8264762
D4AC65,Trimble Inc.,13010065.4947905
